iteration,time_from_start,f1,f2,f3,f4,f
0.000,4.394,2370.000,6548.000,37.722,7800.000,16755.722
1.000,7.189,2370.000,6702.000,37.094,7460.000,16569.094
2.000,8.420,2370.000,6797.000,37.185,7160.000,16364.185
3.000,9.395,2370.000,6759.000,35.864,7060.000,16224.864
4.000,9.930,2370.000,6759.000,35.864,7060.000,16224.864
5.000,10.348,2370.000,6786.000,36.126,7000.000,16192.126
6.000,10.807,2370.000,6786.000,35.976,7000.000,16191.976
7.000,11.240,2370.000,6786.000,35.976,7000.000,16191.976
8.000,11.596,2370.000,6786.000,35.976,7000.000,16191.976
9.000,11.925,2370.000,6795.000,35.919,6980.000,16180.919
10.000,12.273,2370.000,6795.000,35.919,6980.000,16180.919
11.000,12.558,2370.000,6795.000,35.919,6980.000,16180.919
12.000,13.062,2370.000,6795.000,35.919,6980.000,16180.919
13.000,13.630,2370.000,6795.000,35.919,6980.000,16180.919
14.000,13.947,2370.000,6795.000,35.919,6980.000,16180.919
15.000,14.286,2370.000,6795.000,35.919,6980.000,16180.919
16.000,14.692,2370.000,6795.000,35.919,6980.000,16180.919
17.000,14.997,2370.000,6795.000,35.919,6980.000,16180.919
18.000,15.289,2370.000,6795.000,35.919,6980.000,16180.919
19.000,15.623,2370.000,6795.000,35.919,6980.000,16180.919
20.000,15.965,2370.000,6795.000,35.919,6980.000,16180.919
21.000,16.307,2370.000,6855.000,36.741,6860.000,16121.741
22.000,16.771,2370.000,6855.000,36.741,6860.000,16121.741
23.000,17.199,2370.000,6855.000,36.741,6860.000,16121.741
24.000,17.723,2370.000,6855.000,36.741,6860.000,16121.741
25.000,18.096,2370.000,6855.000,36.741,6860.000,16121.741
26.000,18.464,2370.000,6855.000,36.741,6860.000,16121.741
27.000,18.775,2370.000,6855.000,36.741,6860.000,16121.741
28.000,19.107,2370.000,6855.000,36.741,6860.000,16121.741
29.000,19.416,2370.000,6855.000,36.741,6860.000,16121.741
iteration,time_from_start,f1,f2,f3,f4,f
0.000,4.587,2400.000,7003.000,39.949,9360.000,18802.949
1.000,7.942,2400.000,7076.000,40.086,9040.000,18556.086
2.000,9.454,2400.000,7076.000,40.086,9040.000,18556.086
3.000,10.188,2400.000,7170.000,40.391,8860.000,18470.391
4.000,10.743,2400.000,7206.000,39.972,8680.000,18325.972
5.000,11.560,2400.000,7238.000,40.383,8600.000,18278.383
6.000,12.586,2400.000,7264.000,40.167,8460.000,18164.167
7.000,13.260,2400.000,7329.000,39.960,8300.000,18068.960
8.000,13.880,2400.000,7329.000,39.960,8300.000,18068.960
9.000,14.277,2400.000,7379.000,40.001,8200.000,18019.001
10.000,14.745,2400.000,7379.000,40.001,8200.000,18019.001
11.000,15.147,2400.000,7379.000,40.001,8200.000,18019.001
12.000,15.466,2400.000,7379.000,40.001,8200.000,18019.001
13.000,15.877,2400.000,7379.000,40.001,8200.000,18019.001
14.000,16.282,2400.000,7379.000,40.001,8200.000,18019.001
15.000,16.706,2400.000,7379.000,40.001,8200.000,18019.001
16.000,17.127,2400.000,7379.000,40.001,8200.000,18019.001
17.000,18.342,2400.000,7379.000,40.001,8200.000,18019.001
18.000,18.697,2400.000,7379.000,40.001,8200.000,18019.001
19.000,19.041,2400.000,7379.000,40.001,8200.000,18019.001
20.000,19.350,2400.000,7379.000,40.001,8200.000,18019.001
21.000,19.675,2400.000,7379.000,40.001,8200.000,18019.001
22.000,19.952,2400.000,7379.000,40.001,8200.000,18019.001
23.000,20.227,2400.000,7379.000,40.001,8200.000,18019.001
24.000,20.520,2400.000,7379.000,40.001,8200.000,18019.001
25.000,20.795,2400.000,7379.000,40.001,8200.000,18019.001
26.000,21.078,2400.000,7379.000,40.001,8200.000,18019.001
27.000,21.364,2400.000,7379.000,40.001,8200.000,18019.001
28.000,21.662,2400.000,7379.000,40.001,8200.000,18019.001
29.000,21.953,2400.000,7379.000,40.001,8200.000,18019.001
iteration,time_from_start,f1,f2,f3,f4,f
0.000,3.904,2400.000,6920.000,39.920,9600.000,18959.920
1.000,7.343,2400.000,7056.000,39.791,9260.000,18755.791
2.000,8.738,2400.000,7068.000,40.310,9180.000,18688.310
3.000,9.496,2400.000,7141.000,39.991,9060.000,18640.991
4.000,10.498,2400.000,7163.000,40.061,9020.000,18623.061
5.000,11.282,2400.000,7192.000,40.078,8820.000,18452.078
6.000,12.057,2400.000,7192.000,40.078,8820.000,18452.078
7.000,12.543,2400.000,7192.000,40.078,8820.000,18452.078
8.000,12.862,2400.000,7192.000,40.078,8820.000,18452.078
9.000,13.150,2400.000,7192.000,40.078,8820.000,18452.078
10.000,13.465,2400.000,7192.000,40.078,8820.000,18452.078
11.000,13.732,2400.000,7192.000,40.078,8820.000,18452.078
12.000,14.010,2400.000,7192.000,40.078,8820.000,18452.078
13.000,14.287,2400.000,7192.000,40.078,8820.000,18452.078
14.000,14.597,2400.000,7272.000,39.932,8660.000,18371.932
15.000,14.906,2400.000,7272.000,39.932,8660.000,18371.932
16.000,15.172,2400.000,7272.000,39.932,8660.000,18371.932
17.000,15.477,2400.000,7272.000,39.932,8660.000,18371.932
18.000,15.782,2400.000,7272.000,39.932,8660.000,18371.932
19.000,16.047,2400.000,7272.000,39.932,8660.000,18371.932
20.000,16.346,2400.000,7272.000,39.932,8660.000,18371.932
21.000,16.638,2400.000,7272.000,39.932,8660.000,18371.932
22.000,16.920,2400.000,7272.000,39.932,8660.000,18371.932
23.000,17.204,2400.000,7272.000,39.932,8660.000,18371.932
24.000,17.499,2400.000,7272.000,39.932,8660.000,18371.932
25.000,17.769,2400.000,7272.000,39.932,8660.000,18371.932
26.000,18.067,2400.000,7272.000,39.932,8660.000,18371.932
27.000,18.362,2400.000,7272.000,39.932,8660.000,18371.932
28.000,18.653,2400.000,7272.000,39.932,8660.000,18371.932
29.000,18.920,2400.000,7272.000,39.932,8660.000,18371.932
